id,local_image_path
pl3-1,pokemon_images/pl3-1.png
ex12-1,pokemon_images/ex12-1.png
xy5-1,pokemon_images/xy5-1.png
mcd19-1,pokemon_images/mcd19-1.png
ex7-1,pokemon_images/ex7-1.png
det1-1,pokemon_images/det1-1.png
ru1-1,pokemon_images/ru1-1.png
ex3-1,pokemon_images/ex3-1.png
hgss4-1,pokemon_images/hgss4-1.png
ex11-1,pokemon_images/ex11-1.png
base4-1,pokemon_images/base4-1.png
pl1-1,pokemon_images/pl1-1.png
dv1-1,pokemon_images/dv1-1.png
dp3-1,pokemon_images/dp3-1.png
ecard2-H1,pokemon_images/ecard2-H1.png
hgss1-1,pokemon_images/hgss1-1.png
gym1-1,pokemon_images/gym1-1.png
base3-1,pokemon_images/base3-1.png
sm9-1,pokemon_images/sm9-1.png
xy2-1,pokemon_images/xy2-1.png
pop6-1,pokemon_images/pop6-1.png
pl1-2,pokemon_images/pl1-2.png
xy2-2,pokemon_images/xy2-2.png
ecard2-H2,pokemon_images/ecard2-H2.png
hgss4-2,pokemon_images/hgss4-2.png
pop6-2,pokemon_images/pop6-2.png
base3-2,pokemon_images/base3-2.png
ex3-2,pokemon_images/ex3-2.png
base4-2,pokemon_images/base4-2.png
pl3-2,pokemon_images/pl3-2.png
ex11-2,pokemon_images/ex11-2.png
dp3-2,pokemon_images/dp3-2.png
sm9-2,pokemon_images/sm9-2.png
ru1-2,pokemon_images/ru1-2.png
gym1-2,pokemon_images/gym1-2.png
xy5-2,pokemon_images/xy5-2.png
ex7-2,pokemon_images/ex7-2.png
det1-2,pokemon_images/det1-2.png
mcd19-2,pokemon_images/mcd19-2.png
ex12-2,pokemon_images/ex12-2.png
hgss1-2,pokemon_images/hgss1-2.png
ex14-1,pokemon_images/ex14-1.png
xy11-1,pokemon_images/xy11-1.png
sm12-1,pokemon_images/sm12-1.png
swsh35-1,pokemon_images/swsh35-1.png
sm3-1,pokemon_images/sm3-1.png
xy7-1,pokemon_images/xy7-1.png
ex9-1,pokemon_images/ex9-1.png
sm115-1,pokemon_images/sm115-1.png
sm1-1,pokemon_images/sm1-1.png
dp1-1,pokemon_images/dp1-1.png
pop7-1,pokemon_images/pop7-1.png
si1-1,pokemon_images/si1-1.png
col1-1,pokemon_images/col1-1.png
bw1-1,pokemon_images/bw1-1.png
ex13-1,pokemon_images/ex13-1.png
gym2-1,pokemon_images/gym2-1.png
bw10-1,pokemon_images/bw10-1.png
dv1-2,pokemon_images/dv1-2.png
bw10-2,pokemon_images/bw10-2.png
si1-2,pokemon_images/si1-2.png
ex11-3,pokemon_images/ex11-3.png
bw1-2,pokemon_images/bw1-2.png
dv1-3,pokemon_images/dv1-3.png
pl3-3,pokemon_images/pl3-3.png
xy2-3,pokemon_images/xy2-3.png
ex12-3,pokemon_images/ex12-3.png
swsh35-2,pokemon_images/swsh35-2.png
det1-3,pokemon_images/det1-3.png
base3-3,pokemon_images/base3-3.png
xy7-2,pokemon_images/xy7-2.png
sm9-3,pokemon_images/sm9-3.png
ex3-3,pokemon_images/ex3-3.png
gym2-2,pokemon_images/gym2-2.png
ex9-2,pokemon_images/ex9-2.png
pl1-3,pokemon_images/pl1-3.png
hgss1-3,pokemon_images/hgss1-3.png
ecard2-H3,pokemon_images/ecard2-H3.png
ex7-3,pokemon_images/ex7-3.png
xy5-3,pokemon_images/xy5-3.png
sm12-2,pokemon_images/sm12-2.png
ru1-3,pokemon_images/ru1-3.png
ex13-2,pokemon_images/ex13-2.png
mcd19-3,pokemon_images/mcd19-3.png
col1-2,pokemon_images/col1-2.png
pop6-3,pokemon_images/pop6-3.png
base4-3,pokemon_images/base4-3.png
hgss4-3,pokemon_images/hgss4-3.png
pop7-2,pokemon_images/pop7-2.png
xy11-2,pokemon_images/xy11-2.png
sm2-1,pokemon_images/sm2-1.png
dp3-3,pokemon_images/dp3-3.png
sm115-2,pokemon_images/sm115-2.png
sm1-2,pokemon_images/sm1-2.png
gym1-3,pokemon_images/gym1-3.png
hgss2-1,pokemon_images/hgss2-1.png
pop5-1,pokemon_images/pop5-1.png
bw5-1,pokemon_images/bw5-1.png
neo4-1,pokemon_images/neo4-1.png
sm8-1,pokemon_images/sm8-1.png
base1-1,pokemon_images/base1-1.png
basep-1,pokemon_images/basep-1.png
xy4-1,pokemon_images/xy4-1.png
sm5-1,pokemon_images/sm5-1.png
pop1-1,pokemon_images/pop1-1.png
pop9-1,pokemon_images/pop9-1.png
xy1-1,pokemon_images/xy1-1.png
ex4-1,pokemon_images/ex4-1.png
base6-1,pokemon_images/base6-1.png
